Protein	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722142047.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722202358.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722153152.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\EGFP_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722213505.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722164251.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722224609.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722175352.raw	E:\Raw_files\Yugandhar\MLH1_FLAG_DIA\MLH1_Flag_XL-IP_OnBeadDigestion_OnlyTrypsin_RegularIPmethod_DIA_50min_1pct_20230722235712.raw
Q9NQX4	Q9NQX4;Q9NQX4-2	MYO5C_HUMAN	MYO5C	Unconventional myosin-Vc	1.51E+06	1.36E+06	1.46E+06				1.21E+06	1.26E+06	1.28E+06			
Q9NR12	Q9NR12;Q9NR12-3;Q9NR12-4;Q9NR12-5;Q9NR12-6	PDLI7_HUMAN	PDLIM7	PDZ and LIM domain protein 7	3.37E+06	3.36E+06	3.33E+06	568755	612351	553709	2.71E+06	2.62E+06	2.68E+06	676678	656091	550993
Q9NR28;Q9NR28-2	Q9NR28;Q9NR28-2;Q9NR28-3	DBLOH_HUMAN	DIABLO	"Diablo homolog, mitochondrial"				589516	539432	741146	123015			351239	396288	438066
Q9NR30	Q9NR30;Q9NR30-2	DDX21_HUMAN	DDX21	Nucleolar RNA helicase 2	1.99E+06	2.08E+06	1.72E+06	1.96E+06	1.93E+06	1.80E+06	2.46E+06	2.35E+06	2.48E+06	2.93E+06	3.17E+06	3.16E+06
Q9NR31	Q9NR31;Q9NR31-2	SAR1A_HUMAN	SAR1A	GTP-binding protein SAR1a	975400	987943	738949	1.47E+06	1.46E+06	1.32E+06	237013	282888	247268	665041	761744	732436
Q9NR45	Q9NR45	SIAS_HUMAN	NANS	Sialic acid synthase				148085	317717	111006				209619	157515	88668.5
Q9NRA8;Q9NRA8-3	Q9NRA8;Q9NRA8-2;Q9NRA8-3	4ET_HUMAN	EIF4ENIF1	Eukaryotic translation initiation factor 4E transporter	3.09E+06	3.13E+06	3.26E+06	204761	195183	116545	2.42E+06	2.33E+06	2.35E+06	369431	391939	487295
Q9NRF8	Q9NRF8	PYRG2_HUMAN	CTPS2	CTP synthase 2	222228	167582	169225			475904	365469	359471	393313	188165	376744	234047
Q9NRG9	Q9NRG9;Q9NRG9-2	AAAS_HUMAN	AAAS	Aladin	573469	476166	571621	637550	480540	459543	616136	485498	484126	355156	380416	385333
Q9NRK6	Q9NRK6;Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5;Q03519	ABCBA_HUMAN	ABCB10	"ATP-binding cassette sub-family B member 10, mitochondrial"	101832	159609	67298.7	322860	345113	368739	230781	193288	251757	335619	351117	319418
Q9NRL3;Q9NRL3-3	Q9NRL3;Q9NRL3-3	STRN4_HUMAN	STRN4	Striatin-4	147551	163049	201575	225513	241582	290691	248298	179069	187570	362955	288079	401104
Q9NRN7	Q9NRN7;Q9NRN7-2	ADPPT_HUMAN	AASDHPPT	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	403969	442680	440018	1.28E+06	1.35E+06	1.05E+06	227630	212051	202114	1.26E+06	1.27E+06	1.28E+06
Q9NRP0;Q9NRP0-2	Q9NRP0;Q9NRP0-2	OSTC_HUMAN	OSTC	Oligosaccharyltransferase complex subunit OSTC	612453	690058	636647	541470	527385		819158	819755	1.33E+06	741831	877381	828942
Q9NRX1	Q9NRX1	PNO1_HUMAN	PNO1	RNA-binding protein PNO1	93484	110466		161870		165732	100900	44492	75994.3	224173	257796	303557
Q9NRX2	Q9NRX2	RM17_HUMAN	MRPL17	"39S ribosomal protein L17, mitochondrial"	484649	397839	463278	562631	724501	679034	1.73E+06	1.57E+06	1.47E+06	1.08E+06	836819	866630
Q9NRX4;Q9NRX4-2	Q9NRX4;Q9NRX4-2	PHP14_HUMAN	PHPT1	14 kDa phosphohistidine phosphatase		94161.7		310550	290060	248006				134588	127195	100305
Q9NRZ7	Q9NRZ7	PLCC_HUMAN	AGPAT3	1-acyl-sn-glycerol-3-phosphate acyltransferase gamma		1.30E+06									178607	
Q9NRZ9;Q9NRZ9-2;Q9NRZ9-3	Q9NRZ9;Q9NRZ9-2;Q9NRZ9-3;Q9NRZ9-4	HELLS_HUMAN	HELLS	Lymphoid-specific helicase	253289	388031	171403	435098	450408	276088	1.91E+06	1.95E+06	1.74E+06	809109	785946	779423
Q9NS69	Q9NS69	TOM22_HUMAN	TOMM22	Mitochondrial import receptor subunit TOM22 homolog	551412	424324	224619	822819	1.11E+06	675301	614783	773763	726296	1.90E+06	1.61E+06	1.34E+06
Q9NSD9	Q9NSD9	SYFB_HUMAN	FARSB	Phenylalanine--tRNA ligase beta subunit	204880	205109		766165	618939	458750	92966.2		270597	385288	368299	670154
Q9NSE4	Q9NSE4	SYIM_HUMAN	IARS2	"Isoleucine--tRNA ligase, mitochondrial"	153534	175098	181014	336484	338294	293871	531665	483262	468036	473338	314842	329721
Q9NSI2;Q9NSI2-2	Q9NSI2;Q9NSI2-2	F207A_HUMAN	FAM207A	Protein FAM207A	417572	330349	169886	373834	380019	478006	287496	311469	199211	456186	529837	330635
Q9NSK0;Q9NSK0-3;Q9NSK0-5	Q9NSK0;Q9NSK0-3;Q9NSK0-5	KLC4_HUMAN	KLC4	Kinesin light chain 4							506447	676339	406698		374045	626475
Q9NSV4;Q9NSV4-4;Q9NSV4-5;Q9NSV4-6	Q9NSV4;Q9NSV4-4;Q9NSV4-5;Q9NSV4-6	DIAP3_HUMAN	DIAPH3	Protein diaphanous homolog 3	96164.4	110793	123784				183011	148794	172860	142236	110947	120358
Q9NTJ3	Q9NTJ3;Q9NTJ3-2	SMC4_HUMAN	SMC4	Structural maintenance of chromosomes protein 4	3.74E+06	4.08E+06	3.57E+06	5.42E+06	5.25E+06	4.96E+06	3.97E+06	3.84E+06	4.08E+06	5.19E+06	5.16E+06	5.04E+06
Q9NTJ5;Q9NTJ5-2	Q9NTJ5;Q9NTJ5-2	SAC1_HUMAN	SACM1L	Phosphatidylinositide phosphatase SAC1	564610	234874	434631	1.28E+06	1.26E+06	745871	365262	438582	192814	776015	970384	782853
Q9NTK5;Q9NTK5-2	Q9NTK5;Q9NTK5-2	OLA1_HUMAN	OLA1	Obg-like ATPase 1	237947			357630	304932	307872				278129	275223	304551
Q9NTX5;Q9NTX5-2;Q9NTX5-3;Q9NTX5-6	Q9NTX5;Q9NTX5-2;Q9NTX5-3;Q9NTX5-6	ECHD1_HUMAN	ECHDC1	Ethylmalonyl-CoA decarboxylase	470310	588420	644610	965703	1.01E+06	1.16E+06	900381	898678	869089	942844	1.09E+06	887990
Q9NU22	Q9NU22	MDN1_HUMAN	MDN1	Midasin	584873	543057	753290	1.00E+06	1.05E+06	1.14E+06	1.48E+06	1.41E+06	1.40E+06	2.09E+06	1.98E+06	2.03E+06
Q9NUI1;Q9NUI1-2	Q9NUI1;Q9NUI1-2;Q9NUI1-3	DECR2_HUMAN	DECR2	"Peroxisomal 2,4-dienoyl-CoA reductase"	154865	160732	191318	77522.9	65776.5	102501	307526	335959	309480	152522	144067	150328
Q9NUL7	Q9NUL7	DDX28_HUMAN	DDX28	Probable ATP-dependent RNA helicase DDX28	300454	332684	348003	375096	274348	289312	436850	471526	456714	358008	379172	372652
Q9NUM4	Q9NUM4	T106B_HUMAN	TMEM106B	Transmembrane protein 106B				337638	579308	547561				444961	346195	403586
Q9NUP9	Q9NUP9	LIN7C_HUMAN	LIN7C	Protein lin-7 homolog C	3.72E+06	3.73E+06	3.64E+06	718589	672663	639256	4.35E+06	4.48E+06	4.35E+06	1.04E+06	1.02E+06	929704
Q9NUU7	Q9NUU7;Q9NUU7-2;Q9UMR2;Q9UMR2-2;Q9UMR2-3;Q9UMR2-4	DD19A_HUMAN	DDX19A	ATP-dependent RNA helicase DDX19A	415482	509691	361649	865001	966755	815283	685975	571085	561509	1.12E+06	914752	850514
Q9NVA1;Q9NVA1-2;Q9NVA1-5	Q9NVA1;Q9NVA1-2;Q9NVA1-5	UQCC1_HUMAN	UQCC1	Ubiquinol-cytochrome-c reductase complex assembly factor 1	56169.3			96980.4			29441			207526		
Q9NVA2;Q9NVA2-2	Q14141;Q14141-2;Q14141-4;Q9NVA2;Q9NVA2-2;Q92599;Q92599-2;Q92599-3;Q92599-4	SEP11_HUMAN	11-Sep	Septin-11	1.15E+06	1.34E+06	1.28E+06	2.46E+06	2.66E+06	2.55E+06	320461	326365	364930	1.51E+06	1.54E+06	1.68E+06
Q9NVE7	Q9NVE7	PANK4_HUMAN	PANK4	Pantothenate kinase 4	422841	287771	323012	548218	841657	764581	734357	928239	792393	642677	805318	611137
Q9NVH1;Q9NVH1-3	Q9NVH1;Q9NVH1-3	DJC11_HUMAN	DNAJC11	DnaJ homolog subfamily C member 11	656577	823610	656689	395206	507879	622103	478308	495497	443472	480671	605259	647394
Q9NVH2;Q9NVH2-2;Q9NVH2-3	Q9NVH2;Q9NVH2-2;Q9NVH2-3;Q9NVH2-4	INT7_HUMAN	INTS7	Integrator complex subunit 7	223189	220990	235152	288565	204072	197074	209003		106642	351761	271747	182887
Q9NVI1	Q9NVI1;Q9NVI1-2;Q9NVI1-1	FANCI_HUMAN	FANCI	Fanconi anemia group I protein	895239	916662	1.01E+06	1.00E+06	1.12E+06	1.08E+06	1.57E+06	1.61E+06	1.51E+06	1.41E+06	1.33E+06	1.66E+06
Q9NVI7-2	Q9NVI7;Q9NVI7-2;Q9NVI7-3	ATD3A_HUMAN	ATAD3A	Isoform 2 of ATPase family AAA domain-containing protein 3A	1.43E+07	1.42E+07	1.33E+07	9.85E+06	9.91E+06	9.66E+06	1.20E+07	1.14E+07	1.18E+07	7.36E+06	7.12E+06	7.00E+06
Q9NVJ2	Q96BM9;Q9NVJ2	ARL8B_HUMAN	ARL8B	ADP-ribosylation factor-like protein 8B	176562	94027.6		582790	631186	565319	124949	160395		359911	342678	385496
Q9NVM9	Q9NVM9;Q9NVM9-2	INT13_HUMAN	INTS13	Integrator complex subunit 13				367101	389897	326655			84318	273220	321571	432467
Q9NVU7;Q9NVU7-2	Q9NVU7;Q9NVU7-2	SDA1_HUMAN	SDAD1	Protein SDA1 homolog				142180	187049	164993		112680		211253		119001
Q9NVV4;Q9NVV4-2	Q9NVV4;Q9NVV4-2	PAPD1_HUMAN	MTPAP	"Poly(A) RNA polymerase, mitochondrial"			181905	85377.7			656669	716154	820000	272460	196229	264773
Q9NW64	Q9NW64;Q9NW64-2	RBM22_HUMAN	RBM22	Pre-mRNA-splicing factor RBM22	4.11E+06	3.92E+06	3.59E+06	1.02E+06	1.27E+06	1.10E+06	3.16E+06	3.35E+06	2.94E+06	1.61E+06	1.40E+06	1.30E+06
Q9NW81;Q9NW81-4;Q9NW81-5	Q9NW81;Q9NW81-4;Q9NW81-5	AT5SL_HUMAN	ATP5SL	ATP synthase subunit s-like protein	537971	570813	599279	408970	468320	457151	785353	860564	902060	367972	491356	470501
Q9NWK9;Q9NWK9-2	Q9NWK9;Q9NWK9-2	BCD1_HUMAN	ZNHIT6	Box C/D snoRNA protein 1	163548	147076	160769				90950.7	94579.3	84174.5	39925.6		
Q9NWQ8	Q9NWQ8	PHAG1_HUMAN	PAG1	Phosphoprotein associated with glycosphingolipid-enriched microdomains 1	437673	235892	584004				355899	369189	518856			
Q9NWU2	Q9NWU2	GID8_HUMAN	GID8	Glucose-induced degradation protein 8 homolog	45355.8			120534			98245.5				209564	
Q9NWU5;Q9NWU5-2;Q9NWU5-3	Q9NWU5;Q9NWU5-2;Q9NWU5-3	RM22_HUMAN	MRPL22	"39S ribosomal protein L22, mitochondrial"	510406		269336	526227	554997	512422	115082			459104	499913	470146
Q9NWV8;Q9NWV8-3	Q9NWV8;Q9NWV8-3	BABA1_HUMAN	BABAM1	BRISC and BRCA1-A complex member 1	333454	344173	330322	826550	741923	707736	370676	369483		670312	613878	687598
Q9NWW5;Q9NWW5-2	Q9NWW5;Q9NWW5-2	CLN6_HUMAN	CLN6	Ceroid-lipofuscinosis neuronal protein 6	261654	298568	354603	459292	724916	746498	717180	701136	763406	796801	789420	798875
Q9NWZ5;Q9NWZ5-2;Q9NWZ5-3;Q9NWZ5-4	Q9NWZ5;Q9NWZ5-2;Q9NWZ5-3;Q9NWZ5-4	UCKL1_HUMAN	UCKL1	Uridine-cytidine kinase-like 1				447883	588547	344016	264814	297123	215502	284511	340506	374112
Q9NX14;Q9NX14-2	Q9NX14;Q9NX14-2	NDUBB_HUMAN	NDUFB11	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial"	113644	128166		878705	697256	821917	125782		158062	537722	580003	449587
Q9NX20	Q9NX20	RM16_HUMAN	MRPL16	"39S ribosomal protein L16, mitochondrial"	457573	376459	320727	1.03E+06	834893	822028	402478	373149	348456	878319	813108	730510
Q9NX24	Q9NX24	NHP2_HUMAN	NHP2	H/ACA ribonucleoprotein complex subunit 2	447407	351767	331555	1.30E+06	1.31E+06	1.28E+06	393455	315414	273782	901994	871201	852745
Q9NX58	Q9NX58	LYAR_HUMAN	LYAR	Cell growth-regulating nucleolar protein	506209	407145	818915	565829	687008	567663	476676	430060	274457	629522	927956	1.03E+06
Q9NX61;Q9NX61-2	Q9NX61;Q9NX61-2	T161A_HUMAN	TMEM161A	Transmembrane protein 161A			225682	387481	129446	336948	315856		341677	339834	464707	339088
Q9NX63	Q9NX63	MIC19_HUMAN	CHCHD3	MICOS complex subunit MIC19	1.63E+06	1.60E+06	1.57E+06	3.66E+06	3.48E+06	3.43E+06	2.12E+06	2.01E+06	2.11E+06	3.96E+06	3.93E+06	3.81E+06
Q9NXE4;Q9NXE4-10;Q9NXE4-2;Q9NXE4-3;Q9NXE4-4;Q9NXE4-6;Q9NXE4-7;Q9NXE4-8;Q9NXE4-9	Q9NXE4;Q9NXE4-2;Q9NXE4-3;Q9NXE4-4;Q9NXE4-5;Q9NXE4-6;Q9NXE4-7;Q9NXE4-8;Q9NXE4-9;Q9NXE4-10	NSMA3_HUMAN	SMPD4	Sphingomyelin phosphodiesterase 4	309859	326180	353754	783811	629449	710911	930928	946117	908751	1.12E+06	1.01E+06	1.04E+06
Q9NXH9;Q9NXH9-2	Q9NXH9;Q9NXH9-2	TRM1_HUMAN	TRMT1	tRNA (guanine(26)-N(2))-dimethyltransferase	297428		724746	538390	454517	574320	752213	609016	479433	883315	705378	635167
Q9NXR7;Q9NXR7-1;Q9NXR7-3;Q9NXR7-4	Q9NXR7;Q9NXR7-1;Q9NXR7-3;Q9NXR7-4	BABA2_HUMAN	BABAM2	BRISC and BRCA1-A complex member 2	493905	485638	720755	796867	738042	812812	566735	515001	648889	744208	618279	572216
Q9NXS2	Q9NXS2;Q9NXS2-3	QPCTL_HUMAN	QPCTL	Glutaminyl-peptide cyclotransferase-like protein	1.48E+07	1.42E+07	1.44E+07	3.44E+06	3.52E+06	3.47E+06	1.31E+07	1.27E+07	1.29E+07	2.53E+06	2.72E+06	2.62E+06
Q9NXV6	Q9NXV6	CARF_HUMAN	CDKN2AIP	CDKN2A-interacting protein	254517	286201	161477	221290	184278	166530	107834	189368		78381.7	97780.5	
Q9NXW2	Q9NXW2;Q9NXW2-2	DJB12_HUMAN	DNAJB12	DnaJ homolog subfamily B member 12	651164	611111	650565	745215	602480	726983	865060	760774	1.02E+06	834001	888158	791690
Q9NY12;Q9NY12-2	Q9NY12;Q9NY12-2	GAR1_HUMAN	GAR1	H/ACA ribonucleoprotein complex subunit 1	1.59E+07	1.72E+07	1.64E+07	3.43E+06	3.28E+06	3.23E+06	1.04E+07	9.96E+06	8.84E+06	3.32E+06	3.09E+06	2.86E+06
Q9NY93;Q9NY93-2	Q9NY93;Q9NY93-2	DDX56_HUMAN	DDX56	Probable ATP-dependent RNA helicase DDX56	213691	118445	207430	145529	312497	354571	191023	240888	234002	517880	491524	558787
Q9NYF8;Q9NYF8-2	Q9NYF8;Q9NYF8-2;Q9NYF8-3;Q9NYF8-4	BCLF1_HUMAN	BCLAF1	Bcl-2-associated transcription factor 1	5.11E+06	5.15E+06	5.12E+06	2.48E+06	2.29E+06	2.36E+06	3.10E+06	3.03E+06	2.78E+06	2.24E+06	2.12E+06	2.08E+06
Q9NYJ8;Q9NYJ8-2	Q9NYJ8;Q9NYJ8-2	TAB2_HUMAN	TAB2	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2	952356	991791	949194	2.19E+06	1.96E+06	1.90E+06	823026	823839	827672	1.41E+06	1.32E+06	1.33E+06
Q9NYL9	Q9NYL9	TMOD3_HUMAN	TMOD3	Tropomodulin-3	2.51E+07	2.25E+07	2.44E+07	380120	315395	261876	2.05E+07	2.11E+07	2.22E+07	482878	776890	533161
Q9NYU2;Q9NYU2-2	Q9NYU2;Q9NYU2-2	UGGG1_HUMAN	UGGT1	UDP-glucose:glycoprotein glucosyltransferase 1	181961	141076	496047	1.20E+06	1.18E+06	1.04E+06	460561	422142	440894	1.08E+06	1.07E+06	930245
Q9NYY8	Q9NYY8	FAKD2_HUMAN	FASTKD2	"FAST kinase domain-containing protein 2, mitochondrial"						284297	127318				264251	387645
Q9NZ01	Q9NZ01	TECR_HUMAN	TECR	Very-long-chain enoyl-CoA reductase	2.14E+06	1.77E+06	1.94E+06	2.73E+06	2.80E+06	2.58E+06	3.47E+06	3.40E+06	3.71E+06	2.64E+06	2.62E+06	2.61E+06
Q9NZ32	Q9NZ32	ARP10_HUMAN	ACTR10	Actin-related protein 10	3.76E+06	3.69E+06	3.79E+06	448398	309978	447757	2.29E+06	2.29E+06	2.34E+06	456126	382109	362343
Q9NZC9	Q9NZC9	SMAL1_HUMAN	SMARCAL1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1	761311	736075	660646		112132		895941	835564	913707	121820		
Q9NZI8	Q9NZI8	IF2B1_HUMAN	IGF2BP1	Insulin-like growth factor 2 mRNA-binding protein 1	3.30E+06	3.18E+06	3.34E+06	2.23E+06	2.13E+06	2.26E+06	2.21E+06	2.13E+06	2.26E+06	2.51E+06	2.47E+06	2.65E+06
Q9NZJ0	Q9NZJ0	DTL_HUMAN	DTL	Denticleless protein homolog	254624	280727	229901	150830	115958	105583	224183	263536	260615	189431	188922	184628
Q9NZJ7;Q9NZJ7-2	Q9NZJ7;Q9NZJ7-2	MTCH1_HUMAN	MTCH1	Mitochondrial carrier homolog 1	536179	550740	413875	606955	535001	588304	550192	611274	512166	796586	692045	870054
Q9NZL4;Q9NZL4-3	Q9NZL4;Q9NZL4-2;Q9NZL4-3	HPBP1_HUMAN	HSPBP1	Hsp70-binding protein 1	1.08E+06	1.05E+06	733377	1.32E+06	1.10E+06	1.13E+06	572746	618203	504274	803234	862405	721465
Q9NZL9;Q9NZL9-2;Q9NZL9-3;Q9NZL9-4	Q9NZL9;Q9NZL9-2;Q9NZL9-3;Q9NZL9-4;Q9NZL9-5	MAT2B_HUMAN	MAT2B	Methionine adenosyltransferase 2 subunit beta				964786	1.07E+06	1.37E+06				1.08E+06	982950	1.26E+06
Q9NZN5;Q9NZN5-2	Q9NZN5;Q9NZN5-2	ARHGC_HUMAN	ARHGEF12	Rho guanine nucleotide exchange factor 12	460743	441192	440291				529587	456179	403705	168936	186533	
Q9NZN8;Q9NZN8-4;Q9NZN8-5	Q9NZN8;Q9NZN8-4;Q9NZN8-5	CNOT2_HUMAN	CNOT2	CCR4-NOT transcription complex subunit 2	132400		110576	142992	124484	66958.1		29718.4	97953.9	135931	160599	124000
Q9NZR1	Q9NZR1;Q9NZR1-2	TMOD2_HUMAN	TMOD2	Tropomodulin-2	2.00E+06	1.92E+06	2.24E+06			164772	1.00E+06	1.04E+06	1.06E+06			
Q9NZW5	Q14168;Q14168-2;Q14168-3;Q14168-4;Q14168-5;Q14168-6;Q9NZW5	MPP6_HUMAN	MPP6	MAGUK p55 subfamily member 6				253563	378111	421887		208953			168783	
Q9P003	Q9P003	CNIH4_HUMAN	CNIH4	Protein cornichon homolog 4	182575	206902	236532	463693	495514	652078	444292	294058	430586	498210	669452	469223
Q9P013	Q9P013	CWC15_HUMAN	CWC15	Spliceosome-associated protein CWC15 homolog				803517	738875	873682				1.22E+06	1.09E+06	1.25E+06
Q9P015	Q9P015	RM15_HUMAN	MRPL15	"39S ribosomal protein L15, mitochondrial"				178798	133732	99401.1				189239	185628	97163.5
Q9P032	Q9P032	NDUF4_HUMAN	NDUFAF4	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4	903987	769303	679859	1.09E+06	1.05E+06	1.15E+06	654624	701203	583053	1.13E+06	990727	1.25E+06
Q9P035	Q9P035	HACD3_HUMAN	HACD3	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3	856478	991281	978019	1.35E+06	1.38E+06	928153	1.01E+06	845805	1.10E+06	1.37E+06	978278	1.26E+06
Q9P0J0;Q9P0J0-2	Q9P0J0;Q9P0J0-2	NDUAD_HUMAN	NDUFA13	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13	336883	466389	308244	580486	604683	636643	800698	896236	932346	736910	746811	595770
Q9P0J7	Q9P0J7	KCMF1_HUMAN	KCMF1	E3 ubiquitin-protein ligase KCMF1	389061	396650	381742	448560		221160						
Q9P0K7;Q9P0K7-4	Q9P0K7;Q9P0K7-2;Q9P0K7-3;Q9P0K7-4	RAI14_HUMAN	RAI14	Ankycorbin	3.06E+06	2.83E+06	2.79E+06				2.97E+06	2.97E+06	2.99E+06	327543	268925	125247
Q9P0L1	Q9P0L1	ZKSC7_HUMAN	ZKSCAN7	Zinc finger protein with KRAB and SCAN domains 7	492856	343896	455889	294150	241823	273331	636585	632929	635591	237080	165891	207887
Q9P0T4	Q9P0T4	ZN581_HUMAN	ZNF581	Zinc finger protein 581	784270	768870	788098				419370	436745	390712			
Q9P0U3;Q9P0U3-2	Q9P0U3;Q9P0U3-2	SENP1_HUMAN	SENP1	Sentrin-specific protease 1	345757	263095	227998				760247	705267	678317	219687	200401	214798
Q9P0V3	Q9P0V3;Q9P0V3-2	SH3B4_HUMAN	SH3BP4	SH3 domain-binding protein 4			580457				579832	612467	670428	216704	313290	550238
Q9P1Y5;Q9P1Y5-2	Q9P1Y5;Q9P1Y5-2	CAMP3_HUMAN	CAMSAP3	Calmodulin-regulated spectrin-associated protein 3	270213	286308		212987	287454	200581	114764	730895	1.39E+06	139100	119165	
Q9P219	Q9P219;Q9P219-2	DAPLE_HUMAN	CCDC88C	Protein Daple			212770				307626	313206	320012			
Q9P227;Q9P227-2	Q9P227;Q9P227-2	RHG23_HUMAN	ARHGAP23	Rho GTPase-activating protein 23	2.03E+06	2.22E+06	685994				1.50E+06	752472	769941			
Q9P253	Q9P253	VPS18_HUMAN	VPS18	Vacuolar protein sorting-associated protein 18 homolog				243641	216804	155471		39291.4	35499.3	209885	88070.5	161002
Q9P258	Q9P258	RCC2_HUMAN	RCC2	Protein RCC2	1.09E+06	1.37E+06	1.29E+06	3.18E+06	3.17E+06	2.91E+06	1.29E+06	1.34E+06	1.04E+06	2.62E+06	2.51E+06	2.27E+06
Q9P266	Q9P266	JCAD_HUMAN	KIAA1462	Junctional protein associated with coronary artery disease	634183	595633	593577				556253	615699	657133		114878	
Q9P289	Q9Y6E0;Q9Y6E0-2;O00506;O00506-2;O00506-3;Q9P289;Q9P289-2	STK26_HUMAN	STK26	Serine/threonine-protein kinase 26	292203	287917	380961	269132		124338	449058	461771	382417	255539	226528	88068.5
Q9P2E2;Q9P2E2-3	Q9P2E2;Q9P2E2-3	KIF17_HUMAN	KIF17	Kinesin-like protein KIF17	773023						936466	965740	1.05E+06	262426	214556	134523
Q9P2E9;Q9P2E9-2	Q9P2E9;Q9P2E9-2	RRBP1_HUMAN	RRBP1	Ribosome-binding protein 1	316317	412795	501068	558113	544713	492928	353693	435897	392684	489180	396157	368767
Q9P2F8	Q9P2F8;Q9P2F8-2	SI1L2_HUMAN	SIPA1L2	Signal-induced proliferation-associated 1-like protein 2	304552	341553	360429				304144	310714	288123			
Q9P2I0	Q9P2I0	CPSF2_HUMAN	CPSF2	Cleavage and polyadenylation specificity factor subunit 2	937205	1.14E+06	676713	599517	549751	474614	1.07E+06	971531	1.09E+06	811453	923496	797041
Q9P2J5	Q9P2J5;Q9P2J5-2	SYLC_HUMAN	LARS	"Leucine--tRNA ligase, cytoplasmic"	1.57E+06	1.38E+06	1.46E+06	2.85E+06	2.99E+06	2.90E+06	905818	790798	740250	2.08E+06	1.95E+06	2.06E+06
Q9P2M7	Q9P2M7;Q9P2M7-2	CING_HUMAN	CGN	Cingulin	4.12E+06	4.06E+06	4.12E+06		7.35E+06	158011	3.03E+06	2.90E+06	2.91E+06	266503	305931	187734
Q9P2P6	Q9HAQ2;Q9HAQ2-2;Q9P2P6;Q9P2P6-2;Q9P2P6-3	STAR9_HUMAN	STARD9	StAR-related lipid transfer protein 9	611045	530647	552068	887541	1.01E+06	943591	346117	347059	297284	523493	564201	802724
Q9P2R3;Q9P2R3-2;Q9P2R3-4	Q9P2R3;Q9P2R3-2;Q9P2R3-4	ANFY1_HUMAN	ANKFY1	Rabankyrin-5	213461	352921	141044	826432	691893	949429	233346	237022	300748	787902	905673	1.02E+06
Q9P2R6;Q9P2R6-2	Q9P2R6;Q9P2R6-2	RERE_HUMAN	RERE	Arginine-glutamic acid dipeptide repeats protein	738655	487181			1.35E+06							
Q9P2R7;Q9P2R7-2	Q9P2R7;Q9P2R7-2	SUCB1_HUMAN	SUCLA2	"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial"	1.16E+06	1.09E+06	1.07E+06	1.81E+06	1.83E+06	1.85E+06	1.66E+06	1.67E+06	1.64E+06	2.00E+06	1.87E+06	1.73E+06
Q9P2X0;Q9P2X0-2	Q9P2X0;Q9P2X0-2	DPM3_HUMAN	DPM3	Dolichol-phosphate mannosyltransferase subunit 3				423720	452253	452536		70118.3		332328	327375	390967
